iter	Passed	Remaining
0	2	242
1	4	220
2	6	206
3	7	188
4	10	191
5	11	185
6	13	179
7	15	175
8	17	172
9	18	169
10	20	165
11	21	160
12	23	156
13	24	150
14	25	145
15	26	140
16	27	135
17	28	130
18	29	125
19	30	122
20	31	119
21	32	115
22	33	111
23	34	108
24	35	105
25	35	102
26	36	99
27	37	96
28	38	93
29	39	91
30	39	88
31	40	86
32	41	84
33	42	82
34	43	80
35	43	78
36	44	76
37	45	74
38	46	72
39	47	70
40	47	69
41	48	66
42	49	65
43	50	63
44	50	62
45	51	60
46	52	59
47	53	57
48	54	56
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	95	0
